method,n_qubits,run,budget,shots_used,iterations,energy,ground_energy,relative_gap
gCANS,5,3,20000,19800,33,-0.05547655872506625,-0.509782396398741,0.8911760015313012
gCANS,5,3,50000,49800,83,-0.20482136624538033,-0.509782396398741,0.598218048147011
gCANS,5,3,100000,100000,155,-0.29052747585100114,-0.509782396398741,0.4300951192050251
gCANS,5,4,5000,4800,8,-0.00105976360536911,-0.509782396398741,0.997921145153588
gCANS,5,4,10000,9600,16,-0.025285785545465518,-0.509782396398741,0.9503988648409752
gCANS,5,4,20000,19800,33,-0.06626485733786941,-0.509782396398741,0.8700134453327838
gCANS,5,4,50000,49800,83,-0.2113554478359736,-0.509782396398741,0.585400654614492
gCANS,5,4,100000,99504,165,-0.3832071834412989,-0.509782396398741,0.24829263201634302
gCANS,5,5,5000,4800,8,-0.11349485892322614,-0.509782396398741,0.777366068885492
gCANS,5,5,10000,9600,16,-0.16930316487271074,-0.509782396398741,0.6678913079998051
gCANS,5,5,20000,19800,33,-0.2748339693226083,-0.509782396398741,0.46087983566298163
gCANS,5,5,50000,49800,83,-0.38873075239995314,-0.509782396398741,0.23745748157239985
gCANS,5,5,100000,99696,146,-0.4168406968615903,-0.509782396398741,0.1823164161683874
gCANS,5,6,5000,4800,8,0.0512126052426837,-0.509782396398741,1.1004597365551756
gCANS,5,6,10000,9600,16,0.019063731272077403,-0.509782396398741,1.0373958210537466
gCANS,5,6,20000,19800,33,-0.03250165729651236,-0.509782396398741,0.9362440572171303
gCANS,5,6,50000,49800,83,-0.15342830543409616,-0.509782396398741,0.6990317701867294
gCANS,5,6,100000,99878,152,-0.20793807497358088,-0.509782396398741,0.5921042459635344
gCANS,5,7,5000,4800,8,-0.06562683562553936,-0.509782396398741,0.8712650023046158
gCANS,5,7,10000,9600,16,-0.09217154079965498,-0.509782396398741,0.8191943436046774
gCANS,5,7,20000,19800,33,-0.1459587954371721,-0.509782396398741,0.7136841199926287
gCANS,5,7,50000,49800,83,-0.2736691743410012,-0.509782396398741,0.46316472229271927
gCANS,5,7,100000,99864,162,-0.4161575534178985,-0.509782396398741,0.18365648488891942
gCANS,5,8,5000,4800,8,0.06635719987316288,-0.509782396398741,1.1301676957500504
gCANS,5,8,10000,9600,16,0.042279912603876764,-0.509782396398741,1.0829371765336642
gCANS,5,8,20000,19800,33,-0.0214347940017882,-0.509782396398741,0.9579530518252294
gCANS,5,8,50000,49800,83,-0.2962390570818403,-0.509782396398741,0.41889115988593617
gCANS,5,8,100000,99600,166,-0.48133387223981494,-0.509782396398741,0.05580523054521921
gCANS,5,9,5000,4800,8,-0.036142252544470885,-0.509782396398741,0.9291025880850519
gCANS,5,9,10000,9600,16,-0.06551751225042925,-0.509782396398741,0.8714794533642883
gCANS,5,9,20000,19800,33,-0.14998089840152853,-0.509782396398741,0.705794277203294
gCANS,5,9,50000,49800,83,-0.328171874976671,-0.509782396398741,0.35625106458171635
gCANS,5,9,100000,99518,165,-0.45110204997142767,-0.509782396398741,0.11510861662122758
gCANS,6,0,5000,4320,6,0.012802284331436422,-0.6884943015589988,1.0185946118979452
gCANS,6,0,10000,9360,13,-0.00011442395691985694,-0.6884943015589988,0.9998338055134796
gCANS,6,0,20000,19440,27,-0.022517439124305472,-0.6884943015589988,0.9672946615922341
gCANS,6,0,50000,49618,68,-0.09161820578236549,-0.6884943015589988,0.8669296091849868
gCANS,6,0,100000,99820,131,-0.24708539359692763,-0.6884943015589988,0.6411220934763914
gCANS,6,1,5000,4320,6,0.08977118736041607,-0.6884943015589988,1.1303876984270484
gCANS,6,1,10000,9360,13,0.05339621906060324,-0.6884943015589988,1.0775550631859914
gCANS,6,1,20000,19440,27,-0.017732509906407817,-0.6884943015589988,0.9742445073746361
gCANS,6,1,50000,49680,69,-0.18058432033510433,-0.6884943015589988,0.7377112346083382
gCANS,6,1,100000,99360,138,-0.3917001909164279,-0.6884943015589988,0.43107707641228443
gCANS,6,2,5000,4320,6,-0.05760853935743749,-0.6884943015589988,0.9163267739079451
gCANS,6,2,10000,9360,13,-0.06727310276160957,-0.6884943015589988,0.9022895285999041
gCANS,6,2,20000,19440,27,-0.08435354303155156,-0.6884943015589988,0.8774811311574479
gCANS,6,2,50000,49564,64,-0.14806036013867924,-0.6884943015589988,0.7849504929766052
gCANS,6,2,100000,99936,133,-0.5047038845887055,-0.6884943015589988,0.2669454439261526
gCANS,6,3,5000,4320,6,-0.045458963980667594,-0.6884943015589988,0.933973362048557
gCANS,6,3,10000,9360,13,-0.05992844459094402,-0.6884943015589988,0.9129572395076554
gCANS,6,3,20000,19440,27,-0.09115933870843274,-0.6884943015589988,0.867596088301653
gCANS,6,3,50000,49680,69,-0.1840653452125982,-0.6884943015589988,0.7326552379652118
gCANS,6,3,100000,99962,134,-0.2505002705910999,-0.6884943015589988,0.6361621729854885
gCANS,6,4,5000,4320,6,-0.12337398349582929,-0.6884943015589988,0.8208060935051079
gCANS,6,4,10000,9360,13,-0.1572388779842563,-0.6884943015589988,0.771619202035208
gCANS,6,4,20000,19440,27,-0.2394612485689873,-0.6884943015589988,0.6521957436295974
gCANS,6,4,50000,49680,69,-0.44593494936312195,-0.6884943015589988,0.3523040810165534
gCANS,6,4,100000,99360,138,-0.5764454828270426,-0.6884943015589988,0.16274472930020978
gCANS,6,5,5000,4320,6,-0.00423307819997302,-0.6884943015589988,0.993851687384503
gCANS,6,5,10000,9360,13,-0.022530908601047936,-0.6884943015589988,0.9672750979201573
gCANS,6,5,20000,19440,27,-0.053331886205168905,-0.6884943015589988,0.9225383767383313
gCANS,6,5,50000,49680,69,-0.11614068989897579,-0.6884943015589988,0.8313120535115666
gCANS,6,5,100000,99570,127,-0.1828479999868933,-0.6884943015589988,0.7344233647644438
gCANS,6,6,5000,4320,6,-0.025892571196983915,-0.6884943015589988,0.9623924684077212
gCANS,6,6,10000,9360,13,-0.051891861404540905,-0.6884943015589988,0.9246299333385344
gCANS,6,6,20000,19440,27,-0.0962758105972854,-0.6884943015589988,0.8601646950754969
